event_id,order_id,event_timestamp,event_type,hub_city,carrier,tracking_number,batch_date
218264,50340,2026-07-14 04:58:16,order_confirmed,Las Piñas,LBC,TRK00050340,2026-07-14
218265,50340,2026-07-14 16:58:16,cancelled,Makati,LBC,TRK00050340,2026-07-14
218266,50341,2026-07-14 13:23:51,order_confirmed,Muntinlupa,J&T Express,TRK00050341,2026-07-14
218267,50341,2026-07-14 20:23:51,packed,Las Piñas,J&T Express,TRK00050341,2026-07-14
218268,50341,2026-07-16 19:23:51,shipped,Cebu City,J&T Express,TRK00050341,2026-07-14
218269,50341,2026-07-20 19:23:51,out_for_delivery,Marikina,J&T Express,TRK00050341,2026-07-14
218270,50341,2026-07-21 06:23:51,delivered,Baguio,J&T Express,TRK00050341,2026-07-14
218271,50342,2026-07-14 11:12:00,order_confirmed,Cebu City,Ninja Van,TRK00050342,2026-07-14
218272,50342,2026-07-14 13:12:00,cancelled,Iloilo City,Ninja Van,TRK00050342,2026-07-14
218273,50343,2026-07-14 22:27:32,order_confirmed,Muntinlupa,DHL eCommerce,TRK00050343,2026-07-14
218274,50343,2026-07-15 05:27:32,packed,Marikina,DHL eCommerce,TRK00050343,2026-07-14
218275,50343,2026-07-16 17:27:32,shipped,Iloilo City,DHL eCommerce,TRK00050343,2026-07-14
218276,50343,2026-07-21 17:27:32,out_for_delivery,Las Piñas,DHL eCommerce,TRK00050343,2026-07-14
218277,50343,2026-07-22 05:27:32,delivered,Taguig,DHL eCommerce,TRK00050343,2026-07-14
218278,50344,2026-07-14 23:30:30,order_confirmed,Marikina,LBC,TRK00050344,2026-07-14
218279,50344,2026-07-15 06:30:30,cancelled,Pasig,LBC,TRK00050344,2026-07-14
218280,50345,2026-07-14 04:08:37,order_confirmed,Makati,LBC,TRK00050345,2026-07-14
218281,50345,2026-07-14 16:08:37,packed,Baguio,LBC,TRK00050345,2026-07-14
218282,50345,2026-07-15 05:08:37,shipped,Pasig,LBC,TRK00050345,2026-07-14
218283,50345,2026-07-17 05:08:37,out_for_delivery,Bacolod,LBC,TRK00050345,2026-07-14
218284,50345,2026-07-17 14:08:37,delivered,Marikina,LBC,TRK00050345,2026-07-14
218285,50346,2026-07-14 06:18:46,order_confirmed,Taguig,Flash Express,TRK00050346,2026-07-14
218286,50346,2026-07-14 23:18:46,packed,Quezon City,Flash Express,TRK00050346,2026-07-14
218287,50346,2026-07-16 09:18:46,shipped,Muntinlupa,Flash Express,TRK00050346,2026-07-14
218288,50346,2026-07-17 09:18:46,out_for_delivery,Bacolod,Flash Express,TRK00050346,2026-07-14
218289,50346,2026-07-17 15:18:46,delivered,Davao City,Flash Express,TRK00050346,2026-07-14
218290,50347,2026-07-14 17:43:17,order_confirmed,Iloilo City,Ninja Van,TRK00050347,2026-07-14
218291,50347,2026-07-15 15:43:17,packed,Pasig,Ninja Van,TRK00050347,2026-07-14
218292,50347,2026-07-17 15:43:17,shipped,Marikina,Ninja Van,TRK00050347,2026-07-14
218293,50347,2026-07-22 15:43:17,out_for_delivery,Makati,Ninja Van,TRK00050347,2026-07-14
218294,50347,2026-07-23 01:43:17,delivered,Taguig,Ninja Van,TRK00050347,2026-07-14
218295,50348,2026-07-14 21:09:51,order_confirmed,Las Piñas,Ninja Van,TRK00050348,2026-07-14
218296,50349,2026-07-14 12:48:24,order_confirmed,Marikina,J&T Express,TRK00050349,2026-07-14
218297,50349,2026-07-15 01:48:24,packed,Parañaque,J&T Express,TRK00050349,2026-07-14
218298,50349,2026-07-16 12:48:24,shipped,Pasig,J&T Express,TRK00050349,2026-07-14
218299,50349,2026-07-18 12:48:24,out_for_delivery,Makati,J&T Express,TRK00050349,2026-07-14
218300,50349,2026-07-18 23:48:24,delivered,Makati,J&T Express,TRK00050349,2026-07-14
218301,50350,2026-07-14 09:20:06,order_confirmed,Pasig,LBC,TRK00050350,2026-07-14
218302,50350,2026-07-14 23:20:06,packed,Makati,LBC,TRK00050350,2026-07-14
218303,50350,2026-07-16 17:20:06,shipped,Baguio,LBC,TRK00050350,2026-07-14
218304,50350,2026-07-18 17:20:06,out_for_delivery,Bacolod,LBC,TRK00050350,2026-07-14
218305,50350,2026-07-19 02:20:06,delivered,Cebu City,LBC,TRK00050350,2026-07-14
218306,50351,2026-07-14 10:36:09,order_confirmed,Makati,Ninja Van,TRK00050351,2026-07-14
218307,50351,2026-07-14 19:36:09,cancelled,Pasig,Ninja Van,TRK00050351,2026-07-14
218308,50352,2026-07-14 08:19:49,order_confirmed,Makati,LBC,TRK00050352,2026-07-14
218309,50352,2026-07-15 03:19:49,packed,Parañaque,LBC,TRK00050352,2026-07-14
218310,50352,2026-07-15 18:19:49,shipped,Baguio,LBC,TRK00050352,2026-07-14
218311,50352,2026-07-19 18:19:49,out_for_delivery,Bacolod,LBC,TRK00050352,2026-07-14
218312,50352,2026-07-20 01:19:49,delivered,Iloilo City,LBC,TRK00050352,2026-07-14
218313,50353,2026-07-14 12:37:50,order_confirmed,Parañaque,DHL eCommerce,TRK00050353,2026-07-14
218314,50353,2026-07-14 20:37:50,packed,Parañaque,DHL eCommerce,TRK00050353,2026-07-14
218315,50353,2026-07-16 14:37:50,shipped,Marikina,DHL eCommerce,TRK00050353,2026-07-14
218316,50353,2026-07-20 14:37:50,out_for_delivery,Makati,DHL eCommerce,TRK00050353,2026-07-14
218317,50353,2026-07-20 21:37:50,delivered,Pasig,DHL eCommerce,TRK00050353,2026-07-14
218318,50354,2026-07-14 19:51:14,order_confirmed,Cebu City,Flash Express,TRK00050354,2026-07-14
218319,50354,2026-07-15 06:51:14,packed,Cagayan de Oro,Flash Express,TRK00050354,2026-07-14
218320,50354,2026-07-16 16:51:14,shipped,Cagayan de Oro,Flash Express,TRK00050354,2026-07-14
218321,50354,2026-07-19 16:51:14,out_for_delivery,Taguig,Flash Express,TRK00050354,2026-07-14
218322,50354,2026-07-19 19:51:14,delivered,Taguig,Flash Express,TRK00050354,2026-07-14
218323,50355,2026-07-14 10:28:59,order_confirmed,Muntinlupa,LBC,TRK00050355,2026-07-14
218324,50356,2026-07-14 12:25:45,order_confirmed,Cagayan de Oro,LBC,TRK00050356,2026-07-14
218325,50356,2026-07-15 04:25:45,packed,Quezon City,LBC,TRK00050356,2026-07-14
218326,50356,2026-07-15 22:25:45,shipped,Davao City,LBC,TRK00050356,2026-07-14
218327,50356,2026-07-19 22:25:45,out_for_delivery,Parañaque,LBC,TRK00050356,2026-07-14
218328,50356,2026-07-20 05:25:45,delivered,Cebu City,LBC,TRK00050356,2026-07-14
218329,50357,2026-07-14 12:11:24,order_confirmed,Cebu City,Ninja Van,TRK00050357,2026-07-14
218330,50357,2026-07-14 17:11:24,cancelled,Pasig,Ninja Van,TRK00050357,2026-07-14
218331,50358,2026-07-14 01:50:34,order_confirmed,Parañaque,DHL eCommerce,TRK00050358,2026-07-14
218332,50358,2026-07-14 11:50:34,packed,Las Piñas,DHL eCommerce,TRK00050358,2026-07-14
218333,50358,2026-07-15 21:50:34,shipped,Pasig,DHL eCommerce,TRK00050358,2026-07-14
218334,50359,2026-07-14 17:44:19,order_confirmed,Makati,Flash Express,TRK00050359,2026-07-14
218335,50359,2026-07-15 01:44:19,packed,Pasig,Flash Express,TRK00050359,2026-07-14
218336,50359,2026-07-16 20:44:19,shipped,Muntinlupa,Flash Express,TRK00050359,2026-07-14
218337,50359,2026-07-21 20:44:19,out_for_delivery,Cebu City,Flash Express,TRK00050359,2026-07-14
